metraj,sakht,rooms,elevator,parking,anbari,price,address
۷۰,۱۳۸۵,۱,True,True,True,۱۱۴٬۲۸۵٬۰۰۰ تومان,یک ربع پیش در تهران، پاسداران
۷۰,۱۴۰۲,۲,True,True,True,۶۲٬۱۴۲٬۰۰۰ تومان,یک ربع پیش در تهران، بریانک
۶۷,۱۳۸۵,۲,False,True,True,۵۰٬۰۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، شهرک ولیعصر
۵۲,۱۳۹۵,۱,True,True,True,۲۳٬۰۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، اندیشه (شهر زیبا)
۱۴۶,۱۴۰۲,۳,True,True,True,۱۷۴٬۶۵۷٬۰۰۰ تومان,یک ربع پیش در تهران، گیشا (کوی نصر)
۱۵۰,۱۳۹۹,۳,True,True,True,۱۲۶٬۶۶۶٬۰۰۰ تومان,یک ربع پیش در تهران، سیدخندان
۱۱۴,۱۴۰۱,۲,True,True,True,۴۹٬۱۲۲٬۰۰۰ تومان,یک ربع پیش در تهران، سرو آزاد
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,یک ربع پیش در تهران، دریاچه شهدای خلیج فارس
۱۱۰,۱۳۹۰,۲,True,True,True,۷۷٬۲۷۲٬۰۰۰ تومان,یک ربع پیش در تهران، شهران جنوبی
۵۰,۱۴۰۲,۱,True,False,False,۹۰٬۰۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، کرمان
۷۰,۱۴۰۲,۲,True,True,True,۶۲٬۱۴۲٬۰۰۰ تومان,یک ربع پیش در تهران، بریانک
۵۱,۱۳۹۱,۱,True,False,False,۴۷٬۰۵۸٬۰۰۰ تومان,یک ربع پیش در تهران، مهرآباد جنوبی
۷۴,۱۳۸۰,۲,False,False,True,۵۸٬۷۸۳٬۰۰۰ تومان,یک ربع پیش در تهران، ستارخان
۱۵۰,۱۳۹۹,۳,True,True,True,۱۲۶٬۶۶۶٬۰۰۰ تومان,یک ربع پیش در تهران، سیدخندان
۱۱۴,۱۴۰۱,۲,True,True,True,۴۹٬۱۲۲٬۰۰۰ تومان,یک ربع پیش در تهران، سرو آزاد
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,یک ربع پیش در تهران، دریاچه شهدای خلیج فارس
۱۰۸,۱۴۰۲,۲,True,True,True,۱۱۱٬۱۱۱٬۰۰۰ تومان,یک ربع پیش در تهران، شمس‌آباد
۵۹,۱۳۸۵,۱,False,True,True,۶۶٬۱۰۱٬۰۰۰ تومان,یک ربع پیش در تهران، جنت‌آباد شمالی
۷۷,۱۳۸۶,۲,True,True,True,۵۹٬۰۹۰٬۰۰۰ تومان,یک ربع پیش در تهران، تهران‌سر
۲۱۰,۱۴۰۲,۳,True,True,True,۱۹۰٬۴۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، میرداماد
۵۲,۱۳۹۵,۱,True,True,True,۲۳٬۰۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، اندیشه (شهر زیبا)
۵۱,۱۳۹۱,۱,True,False,False,۴۷٬۰۵۸٬۰۰۰ تومان,یک ربع پیش در تهران، مهرآباد جنوبی
۱۰۵,۱۴۰۲,۲,True,True,True,۸۳٬۸۰۹٬۰۰۰ تومان,یک ربع پیش در تهران، استاد معین
۷۰,۱۳۸۵,۱,True,True,True,۱۱۴٬۲۸۵٬۰۰۰ تومان,یک ربع پیش در تهران، پاسداران
۷۴,۱۳۸۰,۲,False,False,True,۵۸٬۷۸۳٬۰۰۰ تومان,یک ربع پیش در تهران، ستارخان
۲۸۰,۱۴۰۲,۴,True,True,False,۱۲۵٬۰۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، هروی
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,یک ربع پیش در تهران، دریاچه شهدای خلیج فارس
۱۱۰,۱۳۹۰,۲,True,True,True,۷۷٬۲۷۲٬۰۰۰ تومان,یک ربع پیش در تهران، شهران جنوبی
۵۴,۱۳۸۹,۱,True,True,False,۴۵٬۳۷۰٬۰۰۰ تومان,یک ربع پیش در تهران، آذری
۵۹,۱۳۸۵,۱,False,True,True,۶۶٬۱۰۱٬۰۰۰ تومان,یک ربع پیش در تهران، جنت‌آباد شمالی
۲۱۰,۱۴۰۲,۳,True,True,True,۱۹۰٬۴۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، میرداماد
۵۲,۱۳۹۵,۱,True,True,True,۲۳٬۰۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، اندیشه (شهر زیبا)
۵۱,۱۳۹۱,۱,True,False,False,۴۷٬۰۵۸٬۰۰۰ تومان,یک ربع پیش در تهران، مهرآباد جنوبی
۷۰,۱۳۸۵,۱,True,True,True,۱۱۴٬۲۸۵٬۰۰۰ تومان,یک ربع پیش در تهران، پاسداران
۷۴,۱۳۸۰,۲,False,False,True,۵۸٬۷۸۳٬۰۰۰ تومان,یک ربع پیش در تهران، ستارخان
۱۰۹,۱۳۹۸,۲,True,True,True,۱۰۲٬۷۵۲٬۰۰۰ تومان,یک ربع پیش در تهران، دریاچه شهدای خلیج فارس
۲۸۰,۱۴۰۲,۴,True,True,False,۱۲۵٬۰۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، هروی
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,یک ربع پیش در تهران، دریاچه شهدای خلیج فارس
۷۰,۱۴۰۲,۲,True,True,True,۶۲٬۱۴۲٬۰۰۰ تومان,یک ربع پیش در تهران، بریانک
۱۰۸,۱۴۰۲,۲,True,True,True,۱۱۱٬۱۱۱٬۰۰۰ تومان,یک ربع پیش در تهران، شمس‌آباد
۱۲۲,۱۴۰۲,۳,True,True,True,۱۱۸٬۰۳۲٬۰۰۰ تومان,یک ربع پیش در تهران، شمس‌آباد
۵۴,۱۳۸۹,۱,True,True,False,۴۵٬۳۷۰٬۰۰۰ تومان,یک ربع پیش در تهران، آذری
۷۷,۱۳۸۶,۲,True,True,True,۵۹٬۰۹۰٬۰۰۰ تومان,یک ربع پیش در تهران، تهران‌سر
۲۱۰,۱۴۰۲,۳,True,True,True,۱۹۰٬۴۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، میرداماد
۵۲,۱۳۹۵,۱,True,True,True,۲۳٬۰۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، اندیشه (شهر زیبا)
۵۱,۱۳۹۱,۱,True,False,False,۴۷٬۰۵۸٬۰۰۰ تومان,یک ربع پیش در تهران، مهرآباد جنوبی
۱۰۵,۱۴۰۲,۲,True,True,True,۸۳٬۸۰۹٬۰۰۰ تومان,یک ربع پیش در تهران، استاد معین
۲۸۰,۱۴۰۲,۴,True,True,False,۱۲۵٬۰۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، هروی
۱۱۴,۱۴۰۱,۲,True,True,True,۴۹٬۱۲۲٬۰۰۰ تومان,یک ربع پیش در تهران، سرو آزاد
۱۰۸,۱۴۰۲,۲,True,True,True,۱۱۱٬۱۱۱٬۰۰۰ تومان,یک ربع پیش در تهران، شمس‌آباد
۱۲۲,۱۴۰۲,۳,True,True,True,۱۱۸٬۰۳۲٬۰۰۰ تومان,یک ربع پیش در تهران، شمس‌آباد
۵۴,۱۳۸۹,۱,True,True,False,۴۵٬۳۷۰٬۰۰۰ تومان,یک ربع پیش در تهران، آذری
۷۷,۱۳۸۶,۲,True,True,True,۵۹٬۰۹۰٬۰۰۰ تومان,یک ربع پیش در تهران، تهران‌سر
۲۱۰,۱۴۰۲,۳,True,True,True,۱۹۰٬۴۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، میرداماد
۵۲,۱۳۹۵,۱,True,True,True,۲۳٬۰۷۶٬۰۰۰ تومان,یک ربع پیش در تهران، اندیشه (شهر زیبا)
۱۴۶,۱۴۰۲,۳,True,True,True,۱۷۴٬۶۵۷٬۰۰۰ تومان,یک ربع پیش در تهران، گیشا (کوی نصر)
۵۱,۱۳۹۱,۱,True,False,False,۴۷٬۰۵۸٬۰۰۰ تومان,یک ربع پیش در تهران، مهرآباد جنوبی
۱۰۵,۱۴۰۲,۲,True,True,True,۸۳٬۸۰۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، استاد معین
۲۷۰,۱۴۰۲,۴,True,True,True,۲۵۹٬۲۵۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، دروس
۷۴,۱۳۸۰,۲,False,False,True,۵۸٬۷۸۳٬۰۰۰ تومان,یک ربع پیش در تهران، ستارخان
۱۵۰,۱۳۹۹,۳,True,True,True,۱۲۶٬۶۶۶٬۰۰۰ تومان,یک ربع پیش در تهران، سیدخندان
۱۱۴,۱۴۰۱,۲,True,True,True,۴۹٬۱۲۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، سرو آزاد
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۵۰,۱۴۰۲,۱,True,False,False,۹۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، کرمان
۱۱۰,۱۳۸۴,۲,True,True,True,۸۱٬۸۱۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، کوی فردوس
۵۴,۱۳۸۹,۱,True,True,False,۴۵٬۳۷۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، آذری
۷۷,۱۳۸۶,۲,True,True,True,۵۹٬۰۹۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، تهران‌سر
۱۰۵,۱۳۸۵,۳,True,True,True,۱۲۳٬۸۰۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، گیشا (کوی نصر)
۱۴۶,۱۴۰۲,۳,True,True,True,۱۷۴٬۶۵۷٬۰۰۰ تومان,نیم ساعت پیش در تهران، گیشا (کوی نصر)
۱۵۰,۱۳۹۹,۳,True,True,True,۱۲۶٬۶۶۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، سیدخندان
۱۰۹,۱۳۹۸,۲,True,True,True,۱۰۲٬۷۵۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۲۸۰,۱۴۰۲,۴,True,True,False,۱۲۵٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، هروی
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۵۰,۱۴۰۲,۱,True,False,False,۹۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، کرمان
۱۲۲,۱۴۰۲,۳,True,True,True,۱۱۸٬۰۳۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، شمس‌آباد
۵۹,۱۳۸۵,۱,False,True,True,۶۶٬۱۰۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد شمالی
۲۱۰,۱۴۰۲,۳,True,True,True,۱۹۰٬۴۷۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، میرداماد
۶۷,۱۳۸۵,۲,False,True,True,۵۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهرک ولیعصر
۱۴۶,۱۴۰۲,۳,True,True,True,۱۷۴٬۶۵۷٬۰۰۰ تومان,نیم ساعت پیش در تهران، گیشا (کوی نصر)
۵۱,۱۳۹۱,۱,True,False,False,۴۷٬۰۵۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، مهرآباد جنوبی
۱۰۵,۱۴۰۲,۲,True,True,True,۸۳٬۸۰۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، استاد معین
۱۰۹,۱۳۹۸,۲,True,True,True,۱۰۲٬۷۵۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۱۱۰,۱۳۹۰,۲,True,True,True,۷۷٬۲۷۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهران جنوبی
۵۰,۱۴۰۲,۱,True,False,False,۹۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، کرمان
۷۰,۱۴۰۲,۲,True,True,True,۶۲٬۱۴۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، بریانک
۱۰۸,۱۴۰۲,۲,True,True,True,۱۱۱٬۱۱۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، شمس‌آباد
۱۲۲,۱۴۰۲,۳,True,True,True,۱۱۸٬۰۳۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، شمس‌آباد
۵۴,۱۳۸۹,۱,True,True,False,۴۵٬۳۷۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، آذری
۲۱۰,۱۴۰۲,۳,True,True,True,۱۹۰٬۴۷۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، میرداماد
۱۰۵,۱۳۸۵,۳,True,True,True,۱۲۳٬۸۰۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، گیشا (کوی نصر)
۲۷۰,۱۴۰۲,۴,True,True,True,۲۵۹٬۲۵۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، دروس
۷۰,۱۳۸۵,۱,True,True,True,۱۱۴٬۲۸۵٬۰۰۰ تومان,نیم ساعت پیش در تهران، پاسداران
۱۵۰,۱۳۹۹,۳,True,True,True,۱۲۶٬۶۶۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، سیدخندان
۱۷۰,۱۴۰۱,۳,True,True,True,۵۷٬۹۴۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۱۱۰,۱۳۹۰,۲,True,True,True,۷۷٬۲۷۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهران جنوبی
۵۰,۱۴۰۲,۱,True,False,False,۹۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، کرمان
۷۰,۱۴۰۲,۲,True,True,True,۶۲٬۱۴۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، بریانک
۱۱۰,۱۳۸۴,۲,True,True,True,۸۱٬۸۱۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، کوی فردوس
۱۰۸,۱۴۰۲,۲,True,True,True,۱۱۱٬۱۱۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، شمس‌آباد
